,
"<!DOCTYPE html>
<html>
<body>",
,
,
,
Structural Tags,Fundamental HTML elements used to structure and define the content of a web page
< >,opening tag
< / >,closing tag
<!DOCTYPE html>,used at the beginning of html documents to set file type
<html> </html>,creates an HTML document
<head> </head>,sets off the title & other info that isn't displayed (meta tags are placed here)
<body> </body>,sets off the visible portion of the document
<title> </title>,"puts name of the document in the title bar; when bookmarking pages, this is what is bookmarked"
Semantic Tags,Adds meaning to content for better structure and accessibility
<header> </header>,header of a section or document
<nav> </nav>,navigation menue
<main> </main>,the main content of the document
<section> </section>,generic section of the document
<article> </article>,self-cotained piece of content
<aside> </aside>,content that is related to the content around it
<footer> </footer>,the footer of a section or a page
Meta Tags,Elements that provide metadata about a web page - placed in <head>
"<meta charset=""UTF-8"">",sets a single-line text box for picking a color
"<meta name=""viewport"">",controls how content is displayed on different devices
"<meta name=""author"" content=""Author Name"">",specified the author of the page
Formatting,Formatting in HTML involves using tags to apply various styles and emphasis to text
<p> </p>,creates a new paragraph
<br>,inserts a line break (carriage return)
<blockquote> </blockquote>,puts content in a quote - indents text from both sides
<div> </div>,used to format block content with CSS
<span> </span>,used to format inline content with CSS
"<p class=""important"">This is an important paragraph.</p>","groups multiple HTML elements together, allowing them to be styled collectively"
"<div id=""header"">This is the header</div>",provides a unique identifier for a specific HTML element
Text Tags,Text tags include elements used for structuring and displaying text content on a webpage
<pre> </pre>,creates preformatted text
<h1> </h1> --> <h6> </h6>,"creates headlines -- H1=largest, H6=smallest"
<tt> </tt>,creates typewriter-style text
<code> </code>,"used to define source code, usually monospace"
<cite> </cite>,"creates a citation, usually processed in italics"
<address> </address>,"creates address section, usually processed in italics"
<em> </em>,emphasizes a word (usually processed in italics)
<strong> </strong>,emphasizes a word (usually processed in bold)
<u> </u>,underlined text
<s> </s>,strikethrough text
<b> </b>,Creates bold text (should use <strong> instead)
<i> </i>,Creates italicized text (should use <em> instead)
<font size=?> </font>,Sets size of font - 1 to 7 (should use CSS instead)
<font color=?> </font>,Sets font color (should use CSS instead)
<font face=?> </font>,Defines the font used (should use CSS instead)
Links,"Links are created with the <a> (anchor) tag, allowing users to navigate to other pages or resources"
"<a href=""URL"">clickable text</a>",creates a hyperlink to an external page
"<a href=""#EXAMPLE"">clickable text</a>",creates a hyperlink within the page
"<a href=""mailto:EMAIL_ADDRESS"">clickable text</a>",creates a hyperlink to an email address
"<a name=""EXAMPLE"">",creates a target location within a document
"<a href=""#EXAMPLE"">clickable text</a>",creates a link to that target location
"<button aria-label=""Close"">X</button>",provides an accessible label for an element when a visible label is not present or sufficient
"<a href=""URL"" target=""_blank"">Visit URL in a new tab</a>",Specifies where to open the linked document (Blank used for new tab/window)
